production,movie_title 
" Gold Circle Films, Cutting Edge Entertainment, Newman/Tooley Films",Poolhall Junkies
" Newmarket Capital Group, Red Mullet Productions, Summit Entertainment",The Loss of Sexual Innocence
" Gruber Bros, Tomboy Films, Winchester Multimedia PLC",Shooting Fish
" New Oz Productions, Red Horse Films, Strand Releasing",Psycho Beach Party
" Millennium Films, Millennium Films, Dark Harbor Stories",Trust
" Baltimore Spring Creek Productions, Bayahibe Films Ltd., DreamWorks",An Everlasting Piece
" Beanca Films, MPN Cologne Film 3, Fox International Productions (FIP)","Buen Día, Ramón"
" Gaumont, Screen Australia, Ciné@",Adore
 Empire Pictures,Prison
" Warner Bros., Crawford P., I Should Coco Films",The Big Tease
" Sogepaq, Elías Querejeta Producciones Cinematográficas S.L., Mediapro",Às Segundas ao Sol
" Arts Council of England, British Broadcasting Corporation (BBC), British Screen Productions",Among Giants
" Charter Management, Cineric, Filmula",Another Happy Day
" Cineville, Columbia TriStar Home Video, Dan Lupovitz Productions",The Velocity of Gary
" Bates Entertainment, Tapestry Films, The Kushner-Locke Company",The Last Time I Committed Suicide
" Glass Eye Pix, Belladonna Productions, Off Hollywood Pictures",Stake Land
" Coração da Selva, Hank Levine Film, Watchmen Productions",Futuro Beach
" Disney Channel, It's a Laugh Productions, Varsity Pictures",Sonny with a Chance            
" Carnaby International, Eigerwand Pictures, Molinare Studio",A Lonely Place to Die
" 49th Parallel Productions, Copperheart Entertainment",Nada
 Columbia Pictures Corporation,1776
" IFC Films, Myriad Pictures, Alliance",Inescapable
 Marmot-film,The Geographer Drank His Globe Away
" Darclight Films International, Screen Australia, Omnilab Media",The Loved Ones
" Footage Films, Christopher B. Stokes Films, London Boyz",No Vacancy
 Blumhouse Productions,The Veil
 The Caddo Company,Hell's Angels
" Wild Ocean Films, Lucky Day Pictures, Marlboro Road Gang Productions",Purple Violets
" Annuit Coeptis Entertainment Inc., Annuit Coeptis Entertainment II, Johnson Production Group",How to Fall in Love
 Metro-Goldwyn-Mayer (MGM),Network
 Highland Films,A Man for All Seasons
" Selznick International Pictures, Metro-Goldwyn-Mayer (MGM)",Gone with the Wind
 Jerry Bresler Productions,Major Dundee
" Divine Inspiration Trading 679, Boomtown films, Fabulous Boomtown Boys",The Perfect Wave
 Metro-Goldwyn-Mayer (MGM),Annie Get Your Gun
" Film4, Warp Films, Wild Bunch",Four Lions
" Por Vida Productions, Slate of Eight Productions, 1211 Entertainment",Down for Life
" CrossDay Productions Ltd., Head Gear Films, Lipsync Productions",Desert Dancer
" Insight Film Releasing, Alliance, Darius Films",Defendor - O Vigilante
" Columbia TriStar Filmes do Brasil, Conspiração Filmes, Globo Filmes",House of Sand
" Jerome Hellman Productions, Florin Productions",Midnight Cowboy
" Fox Searchlight Pictures, DNA Films, BBC Two Films",The History Boys
 Metro-Goldwyn-Mayer (MGM),The Pirate
" Redwave Films, Channel Four Films, Twentieth Century Fox",The Full Monty
" Ex Nihilo, Forensic Films, Nimbus Film Productions",O Bom Coração
" Paramount Pictures, Howard W. Koch Productions",Airplane!
" New Line Cinema, Priority Films (I)",Friday
 New Line Cinema,Menace II Society
 20th Century Fox Television,M*A*S*H            
" Laurel Entertainment Inc., Laurel-Show Inc., New World Pictures",Creepshow 2
" Lionsgate, Clear Lake Entertainment, Dog and Pony Media",Chain of Command
" Eaves Movie Ranch, Warner Bros.",The Ballad of Cable Hogue
" Imagine Television, Lee Daniels Entertainment, Danny Strong Productions",Empire            
" Columbia Pictures Corporation, Pax Enterprises",In Cold Blood
 Warner Bros.,The Nun's Story
" Parts and Labor, RT Features, Rooks Nest Entertainment",The Witch
 Gershwin-Kastner Productions,Harper
" Universal Pictures, Universal Pictures",Frenzy
" Good Machine, Marlboro Road Gang Productions, South Fork Pictures",She's the One
" Tornasol Films, Haddock Films, 100 Bares",The Secret in Their Eyes
" Mastoff Films, No Limit Films, Priority Films (I)",I Got the Hook Up
 Millennium Films,Train
" Lions Gate Films, Showtime Networks, Flashpoint (I)",Gods and Monsters
" Paramount Pictures, MTV Films, Chris Rock Entertainment",Pootie Tang
" Southward Films, Syfy, The Asylum",Sharknado
" ADO Entertainment, Carrasco & Domingo Films S.A. de C.V., Consejo Nacional para la Cultura y las Artes (CONACULTA)",La otra conquista
" De Laurentiis Entertainment Group (DEG), Renaissance Pictures",Evil Dead II
" Filmkameratene A/S, Film Fund FUZZ, SF Norge A/S",Trollhunter
" Breakout Pictures, Team Todd",Ira & Abby
" P23 Entertainment, Ridgerock Entertainment Group",The Masked Saint
 Metro-Goldwyn-Mayer (MGM),The Betrayed
" Screen Gems, Anonymous Content, Andrea Sperling Productions",D.E.B.S.
" Stratus Film Co., Mint Pictures",Winter Passing
" Hat Trick Productions, ITV Studios",The Secret            
 Counterclock Productions,Taxman
" Warner Premiere, DC Entertainment, Warner Bros. Animation","Batman: The Dark Knight Returns, Part 2"
" Anthem Pictures, It's An Us Thing Productions Inc.",2:13
" Event Film Distribution, Bolu Filmproduktion und Verleih, ICE Animations",In the Name of the King: The Last Job
 Enderby Entertainment,Dawn Patrol
" Industrial Entertainment, Nazz Productions, Primary Pictures (II)",Wicked Blood
 Representational Pictures,Time to Choose
" National Geographic Films, Bonne Pioche, Wild Bunch",March of the Penguins
" Before The Door Pictures, Benaroya Pictures, Washington Square Films",Margin Call
" Lost in Italy Films, Omerta Films",Lords of London
" Fox Searchlight Pictures, ATO Pictures, Contrafilm",Choke
 Crossbow Productions,High Anxiety
" Bold Films, Blumhouse Productions, Right of Way Films",Whiplash
" Irish Screen, Fruit Salad Films",Human Traffic
" O2 Filmes, VideoFilmes, Globo Filmes",City of God
,August
" Danmarks Radio (DR), Det Danske Filminstitut, Eurimages",The Hunt
" Bruin Grip Services, Lakeshore Entertainment, Pitbull Pictures",The Dead Girl
" Metro-Goldwyn-Mayer (MGM), Christmas Tree Films",A Christmas Story
 Guerilla High Productions,A Classe de 1984
" Verdi Productions, Magna Entertainment",The Opposite Sex
" Birchwood Pictures, Noble Pictures, Two Streets Entertainment",To Write Love on Her Arms
" Christopher Milburn Production, Fox Searchlight Pictures, Isle of Man Film Commission",Dreaming of Joseph Lees
" Metanoia Films, Bella Production, Burnside Entertainment",Bella
" Paramount Pictures, John Ford Productions",The Man Who Shot Liberty Valance
 William Castle Productions,Rosemary's Baby
" HBO Films, Fine Line Features, Journeyman Pictures",Maria Full of Grace
" Olympus Pictures, Parts and Labor, Northwood Productions (II)",Beginners
" Haut et Court, France 2 Cinéma, Canal+",The Class
" Dimension Films, Maloof Motion Pictures, Neo Art & Logic",Feast
" Universal Pictures, Oregon Film Factory, Stage III Productions",Animal House
" Olympus Pictures, Deer Path Productions, Northwood Productions",Adam
 Eon Productions,Goldfinger
 Liberty Films (II),It's a Wonderful Life
" Channel Four Films, Figment Films, The Noel Gay Motion Picture Company",Trainspotting
" Alliance, TF1 International, Téléfilm Canada",Antiviral
" Paramount Pictures, Blumhouse Productions, Solana Films",Paranormal Activity 2
" 40 Acres & A Mule Filmworks, Latham Entertainment, MTV Films",The Original Kings of Comedy
" United Artists, Alliance Atlantis Communications, Salter Street Films International",Bowling for Columbine
" Le Vision Pictures, LeVision Pictures",Regresso a Casa
" New Line Cinema, Heron Communications, Smart Egg Pictures",A Nightmare on Elm Street 2: Freddy's Revenge
" Tomboy Films, Gruber Bros, Mainstream S.A.",Waking Ned Devine
" Goldcrest Films International, National Film Finance Corporation (NFFC), Curzon Film Distributors",A Room with a View
" Universal Pictures, Platinum Dunes, Blumhouse Productions",The Purge
" Alliance Films, IM Global, Blumhouse Productions",Sinister
 Avon Productions (II),Cat on a Hot Tin Roof
" Twentieth Century Fox, APJAC Productions",Beneath the Planet of the Apes
" Walt Disney Pictures, Keystone Pictures",Air Bud
" Paramount Pictures, Sean S. Cunningham Films, Terror Films Inc.",Friday the 13th Part VI: Jason Lives
 Horizon Pictures (II),The Bridge on the River Kwai
" MTV Films, Paramount Pictures, Runteldat Entertainment",Martin Lawrence Live: Runteldat
" Silver Screen Partners IV, Smart Egg Pictures, Touchstone Pictures",Spaced Invaders
 Universal Pictures,Family Plot
" 4 Kids Entertainment, Kids' WB, Nintendo",Pokémon 3: The Movie
 The Mirisch Corporation,The Apartment
" See-Saw Films, DMC Film, Film4",Slow West
" Crystalite Productions, Film Development Fund, Visual Eyes Productions",Krush Groove
" A-Mark Entertainment, Melee Entertainment, Next Day Air Productions",Next Day Air
" New Line Cinema, Sean S. Cunningham Films",Jason Goes to Hell: The Final Friday
 Universal Pictures,Torn Curtain
 Roxlom Films Inc.,Judgment at Nuremberg
" Bob Yari Productions, Focus Features, Partizan",Dave Chappelle's Block Party
 Elmer Gantry Productions,Elmer Gantry
 Beacon Communications,Trippin'
" Stoopid Buddy Stoodios, Aardman Animations, ShadowMachine",Robot Chicken            
" Faliro House Productions, Venture Forth, Castle Rock Entertainment",Before Midnight
" Monterey Productions, Charles K. Feldman Group",Red River
" Outlaw Productions (I), Sneak Preview Entertainment, 10 Times Greater Productions",Phat Girlz
" Spacegate Productions, Starway International Inc., Universal Pictures",Phantasm II
" HBO Films, Newmarket Films, LaVoo Productions",Real Women Have Curves
 Atlantic Entertainment Group,Teen Wolf Too
" FilmFour, British Broadcasting Corporation (BBC), Assassin Films",East Is East
" T.D. Jakes Ministries, Woman Thou Art Loosed LLC",Woman Thou Art Loosed
 Hi-Rez Films,Whipped
" NDF International, Pony Canyon, Pandora Filmproduktion",Kama Sutra: A Tale of Love
" Deepa Mehta Films, Flagship International, David Hamilton Productions",Água
" Matchbox Pictures, Full Clip Productions, FOXTEL",Deadline Gallipoli            
 Wolper Pictures Ltd.,Willy Wonka & the Chocolate Factory
" Trimark Pictures, Tapestry Films",Warlock: The Armageddon
" Sony Pictures Classics, Likely Story, Feelin' Guilty",Please Give
 Paramount Pictures,Days of Heaven
" Crossroads Films, Jawbreaker Productions Inc., Kramer-Tornell Productions",Jawbreaker
" Stonelock Pictures, Single Cell Pictures, double A Films",Thirteen Conversations About One Thing
" Orion Pictures, The Rank Organisation",8 Heads in a Duffel Bag
" Pine District Pictures, RT Features, Scott Rudin Productions",Frances Ha
" The UK Film & TV Production Company PLC, Industrial Development Corporation of South Africa, The National Film and Video Foundation of SA",Tsotsi
" Eleventh Street Production, Jon Kilik, Miramax",Basquiat
 SModcast Pictures,Tusk
" CJ Entertainment, Egg Films, Show East",Oldboy-Velho amigo
" Rhombus Media, Whizbang Films, Yer Dead Productions",Hobo with a Shotgun
" Good Machine, Killer Films",Happiness
" Possibility Pictures, Mercy Creek Entertainment",Letters to God
" Brad Grey Pictures, Gold Circle Films, Heartland Productions",DysFunktional Family
" BBC Films, UK Film Council, Limelight Communication",Fish Tank
" The Kushner-Locke Company, August Entertainment, Davis-Films",Freeway
" Draco Films, Equipment & Film Design",Compadres
" Alpine Medien Productions, Larry Levinson Productions, RHI Entertainment",Love's Abiding Joy
" Hallmark Entertainment Distribution LLC, Trilogy Entertainment Group, MGM Television",Creature            
" Scott Free Productions, King Size Productions, CBS Television Studios",BrainDead            
" Gary Sanchez Productions, BCDF Pictures",Bachelorette
 Westerly Films,Damsels in Distress
" Lions Gate Television, Lionsgate Television, Park Lane Productions",Brave New Girl
" 2929 Productions, Abso Lutely Productions, Bobby Weisman Caterers",Tim and Eric's Billion Dollar Movie
" Claussen & Wöbke Filmproduktion GmbH, ProSieben Entertainment, Seven Pictures",Tempestade de Verão
" Preferred Content, Instinctive Film, Julijette",The Divide
 Granada Television,The Grand            
 Marzipan Entertainment,Fort McCoy
" Sweetland Films, Camellia Productions",Just Looking
" Dimension Films, First Point Entertainment, IM Global",Demonic
" Deon Taylor Enterprises, Tiger Tail Entertainment",Chain Letter
" Treasure Entertainment, Raidió Teilifís Éireann (RTÉ), Broadcasting Commission of Ireland",The Eclipse
" Aloha Pictures, Film Threat DVD",My Big Fat Independent Movie
" 701 Productions, The Deported Productions",The Deported
 Silver Nitrate,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo
" Stage 6 Films, Mandalay Pictures, Baumgarten Management and Productions (BMP)",Never Back Down 2: The Beatdown
 Indiana Production Company,Four Single Fathers
 Lionsgate,They Came Together
" BB Film Productions, Society Entertainment, Marcio Garcia Producoes",Open Road
 Two Prong Lesson,Tanner Hall
" Cima Productions, Vedette Finance",Enter the Dangerous Mind
" Metro-Goldwyn-Mayer (MGM), Winkler Films",Point Blank
" Stick 'N' Stone Productions, Corner Store Entertainment, Far Hills Pictures",Barry Munday
 Merchant Films,Something Wicked
" ArtProd, Lock n' Load Pictures, Premiere Entertainment Group",AWOL-72
" Beverly Ridge Pictures, Chicago Overcoat Productions",Chicago Overcoat
" Arco Films, Iguana Enterprises",Iguana
" Audiovisual Development Bureau, Ministerio da Cultura, BEI Comunicações, Bahiatursa",Central Station
" Bleiberg Entertainment, Compound B, Entropy",Close Range
" Chad Troutwine Films, Cold Fusion Media Group, Green Film Company",Freakonomics
" Lotus Entertainment (I), Infra-Red Films, Jeff Rice Films",Amnesiac
" Alexandre Films, EuropaCorp",High Tension
" NOW Productions, Snow Bird Films",Boynton Beach Club
 Franton Productions,Pocketful of Miracles
" Green Park Pictures, Screen Australia",Griff: O Invisível
" Crunk Pictures, Homegrown Pictures, MTV Films",Hustle & Flow
" Ashton Productions, The Mirisch Corporation",Some Like It Hot
 August Heart Entertainment,Unnatural
 Metro-Goldwyn-Mayer (MGM),The Wizard of Oz
" Gruskoff/Venture Films, Crossbow Productions, Jouer Limited",Young Frankenstein
" Paramount Pictures, Friday Four Films Inc., Sean S. Cunningham Films",Friday the 13th Part VII: The New Blood
 Vinod Chopra Productions,Lage Raho Munna Bhai
" Artfire Films, Romero-Grunwald Productions",Diary of the Dead
" Clinica Estetico, Nunez-Gowan",Ulee's Gold
 Omni Zoetrope,The Black Stallion
 John Ford Productions,Donovan's Reef
 White Hill Production,Sardaar Ji
 A. Film,Journey to Saturn
" Crossbow Productions, Warner Bros.",Blazing Saddles
 Graniet Film BV,The Dress
" Paramount Pictures, Georgetown Productions Inc., Sean S. Cunningham Films",Friday the 13th: The Final Chapter
 Metro-Goldwyn-Mayer (MGM),A Guy Named Joe
" Opus Film, Phoenix Film Investments, Canal+ Polska",Ida
" Identity Films (I), CKRush Entertainment, Beer League Holdings",Beer League
" Merchant Ivory Productions, Cinecom Pictures, Film Four International",Maurice
" Karbo Vantas Entertainment, Fine Productions, Zip Films",Os Cronocrimes
 Metro-Goldwyn-Mayer (MGM),Singin' in the Rain
" Agi Orsi Productions, Forever Films, Quicksilver Entertainment",Riding Giants
" Rifkin-Eberts, Ascendant Pictures, A-Mark Entertainment",Timber Falls
" Open Road Films, IM Global, Endgame Entertainment",A Haunted House
" Clavius Base, Clinica Estetico, Twentieth Century Fox",That Thing You Do!
" Beijing Film Studio, Beijing Guoli Changsheng Movies & TV Productions Co., China Film Group Corporation (CFGC)",Silver Medallist
 Obama's America Foundation,2016: Obama's America
" Us & Us Media, Faster Production","Fat, Sick & Nearly Dead"
" Dino De Laurentiis Company, Universal Pictures",Halloween III: Season of the Witch
" Twentieth Century Fox, APJAC Productions",Escape from the Planet of the Apes
,My Own Private Idaho
" Castle Rock Entertainment, Detour Filmproduction, Filmhaus Wien Universa Filmproduktions",Before Sunrise
" Codeblack Entertainment, Hartbeat Productions, Royalty Marketing",Kevin Hart: Let Me Explain
" Paramount Pictures, Salem-Dover Productions",Hud
" Camelot Pictures, Jersey Films, Double Feature Films",Garden State
" Dog Run Pictures, Park Pictures, TBB",Robot & Frank
" Destination Films, Forensic Films, GreeneStreet Films",Saving Face
" Evenstar Films, Jesus' Son Productions",Jesus' Son
 Go Films,Sur le seuil
" Film4, Ingenious Film Partners, Ruby Films",Brick Lane
" Andrew Lauren Productions (ALP), 21 Laps Entertainment, Global Produce",The Spectacular Now
" Big Picture Ranch, Blue Water Entertainment, Green Planet Productions",Fuel
" El Deseo, Milestone Entertainment, Antena 3 Televisión",A Minha Vida Sem Mim
 Thousand Words,Religulous
,Marilyn Hotchkiss' Ballroom Dancing and Charm School
 David v. Goliath Films,8: The Mormon Proposition
 Banana Peel Entertainment,Valley of the Heart's Delight
" Metro-Goldwyn-Mayer (MGM), Hyde Park Entertainment, Adlabs Films",The Other End of the Line
" This Is That Productions, Ambush Entertainment, Cold Iron Pictures",Super
" Maple Island Films, MarVista Entertainment",Christmas Mail
" Quantum Entertainment, MovieBank, 120dB Films",Eye of the Dolphin
" Deutsche Columbia TriStar Filmproduktion, Claussen & Wöbke Filmproduktion GmbH",Anatomia
" Likely Story, This Is That Productions",Sleep Dealer
" Columbia Pictures Corporation, 15 Black Men, 40 Acres & A Mule Filmworks",Get on the Bus
" Rat Pack Filmproduktion, XYZ Films",Stung
" Traverse Media, Hideaway Pictures, Culmination Productions",Antibirth
" MovieRoom Productions, Namesake Entertainment",Thr3e - 3 Alvos a Abater
" Twentieth Century Fox, Ternion Pictures, Major Studio Partners",Idiocracy
" Warp Films, Big Arty Productions, EM Media",This Is England
" Filmbox, Filmbox, Hawthorn Productions",Alien Uprising
" Saracen Films, Torn Pictures",The Rise of the Krays
 Metro-Goldwyn-Mayer (MGM),Show Boat
 Metro-Goldwyn-Mayer (MGM),Bathing Beauty
" Caribou Pictures, Chase Productions, HSX Films","Dancer, Texas Pop. 81"
" Go For It!, Sparkhope Productions",Go for It!
" Heavy Duty Entertainment, Liberty Road Entertainment, MVP Films",Redemption Road
" Stage 6 Films, Manis Film, Breaking Ball Films",The Calling
" Hyperion Pictures, The Kushner-Locke Company, Walt Disney Pictures",The Brave Little Toaster
 Walt Disney Productions,Fantasia
" Georgetown Productions Inc., Paramount Pictures, Sean S. Cunningham Films",Friday the 13th: A New Beginning
" Paramount Pictures, Georgetown Productions Inc., Jason Productions",Friday the 13th Part III
" Breaking Point Productions, Breaking Point, Lightning Entertainment",Impact Point
" Believe Pictures, The Last Sin Eater",The Last Sin Eater
 After Eden Pictures,8 Days
" Gobsmack, H&H Creative Ventures, Ombra Films",Eden
 Metro-Goldwyn-Mayer (MGM),The Valley of Decision
" Medtia Group, Seven Spice Productions Limited, B2B Media",Chicken Tikka Masala
" Primary Wave Entertainment, Sunrise Films (II)",Always Woodstock
" Pure Flix Entertainment, 10 West Studios, Believe Entertainment",Do You Believe?
" StudioCanal, Lions Gate Films, Muse Productions",Bully
" Brookstreet Pictures, Sound Venture Productions",Jack Brooks: Monster Slayer
 The Samuel Goldwyn Company,The Best Years of Our Lives
" Castelao Producciones, Filmax, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)",[Rec]
 Industrial House Films,Mi America
" FishCorb Films, Konigsberg Company, Silver Screen Pictures",Lies in Plain Sight
 Maipo Film,Elling
" Finchley Central Films, Pelican Films",Sharkskin
 ANA Media,The Timber
 Eon Productions,From Russia with Love
" Bright Cold Day Films, Patchwork Productions, Bandoola Productions",Containment
" Jack Rollins & Charles H. Joffe Productions, Rollins-Joffe Productions",Sleeper
" Fred Silverman Productions, JADDA Productions, Juanita Bartlett Production",In the Heat of the Night            
" Brodsky-Gould Productions, Jack Rollins & Charles H. Joffe Productions, Rollins-Joffe Productions",Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
" Lorimar Film Entertainment, Troma Entertainment",The Toxic Avenger Part II
 Kennedy Miller Productions,The Road Warrior
" Northern Lights Films, Animal Kingdom, Two Flints",It Follows
" Universal International Pictures (UI), Pakula-Mulligan, Brentwood Productions",To Kill a Mockingbird
" Fox Searchlight Pictures, The Independent Film Channel Productions, Killer Films",Boys Don't Cry
" Golden Harvest Company, Hong Kong Stuntman Association, Paragon Films Ltd.",The Legend of the Drunken Master
" Elle Driver, Tazora Films",Casa Silenciosa
" Wiedemann & Berg Filmproduktion, Bayerischer Rundfunk (BR), Arte",The Lives of Others
" Rossen Films, Twentieth Century Fox",The Hustler
" TriStar Pictures, Sherwood Pictures, Provident Films",Courageous
 Metro-Goldwyn-Mayer (MGM),Boom Town
" Good Machine, Dark Horse Entertainment",American Splendor
" Les Armateurs, Production Champion, Vivi Film",The Triplets of Belleville
" Fox Searchlight Pictures, Michael London Productions, Working Title Films",Thirteen
" Altavista Films, Zeta Film",Amores Perros
" ShadowCatcher Entertainment, Welb Film Pursuits Ltd.",Smoke Signals
" Warner Independent Pictures (WIP), Castle Rock Entertainment, Detour Filmproduction",Before Sunset
" Anonymous Content, Winter's Bone Productions",Winter's Bone
" FilmFour, UK Film Council, Darlow Smithson Productions",Touching the Void
" IFC Films, FilmFour",Me and You and Everyone We Know
 Twentieth Century Fox,Gentleman's Agreement
 Twentieth Century Fox,Alexander's Ragtime Band
" StudioCanal, Working Title Films",We Are Your Friends
" Sony Pictures Classics, Representational Pictures, Screen Pass Pictures",Inside Job
" Andrea Sperling Productions, Crave Films, Harsh Times",Harsh Times
" BN Films, 1019 Entertainment, Brightside Entertainment",Captive
" Paragon Arts International, Blue Rider Pictures",Witchboard
" Miramax, Monophonic Inc., Populist Pictures",Full Frontal
" Pandora Filmproduktion, Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland (ARD), Degeto Film",Ghost Dog - O Método do Samurai
" Comedy Central, Paramount Home Entertainment",Strangers with Candy            
" THINKFilm, Fortissimo Films, Q Television",Shortbus
" Caviar, Caviar Films, Cold Iron Pictures",The Diary of a Teenage Girl
" Bridgit Folman Film Gang, Les Films d'Ici, Razor Film Produktion GmbH",Waltz with Bashir
,"The Book of Mormon Movie, Volume 1: The Journey"
" Red Envelope Entertainment, Representational Pictures",No End in Sight
" Evenstar Films, Film Science, Harmony Productions",Meek's Cutoff
" Discovery Films, FilmFour, Passion Pictures",In the Shadow of the Moon
" Goldcrest Films International, John Flock Productions",Clockwatchers
" Clyde Phillips Productions, 20th Century Fox Television",Get Real            
" Imagine Entertainment, HBO Documentary Films, World of Wonder",Inside Deep Throat
" Les Films du Loup, TSF Productions, Gaumont",Subterrâneo
" HSX Films, Overseas FilmGroup, Palm Pictures",Six-String Samurai
" Access Motion Picture Group, Giraldi-Suarez-DiGiaimo Productions",Dinner Rush
" Pierpoline Films, Teeth",Teeth
" Artists First, Gary Sanchez Productions",The Virginity Hit
 Centropolis Entertainment,Stonewall
" Bob Yari Productions, Jeff Skoll Productions, Southpaw Entertainment (I)",House of D
" True West Films, Vertigo Films",It's All Gone Pete Tong
,Hum To Mohabbat Karega
" Circle of Confusion, IndieVest Pictures, Olive Prods",Saint John of Las Vegas
" NBC Universal Television, Universal Cable Productions",Eureka            
" British Broadcasting Corporation (BBC), Scala Films",TwentyFourSeven
 Kaos Entertainment,The Lost Medallion: The Adventures of Billy Stone
" Yash Raj Films, The Walt Disney Company",Roadside Romeo
" The 7th Floor, Apropos Films",The Missing Person
" Lucky Monkey Pictures, Sh-K-Boom Records, Grand Peaks Entertainment",The Last Five Years
" Destination Films, LHR Productions Inc., National Film and Television School (NFTS)",London
" Austin Film Group, Dylan's & Skyler's Releasing, Metal Shop Productions",This Thing of Ours
" Bandai Visual Company, Ozla Productions",Return of the Living Dead III
" Big Beach Films, Elevation Filmworks, Red Envelope Entertainment",Sherrybaby
" Felt Films, Taggart Productions, Votiv Films",Circle
" Rollercoaster Films, Aramid Entertainment Fund",Eden Lake
" Alliance Films, Momentum Pictures, Velvet Bite",Vampire Killers
 Muti Films,Gangster's Paradise: Jerusalema
" Blumhouse Productions, IM Global Octane, Reliance",Plush
 Eyeline Entertainment,Sinatra Being Frank
" Green Park Films, Universal Pictures",Freeze Frame
 Random Art Workshop,Supercapitalist
" Digital Interference Productions, Twin Engine Films",Grave Encounters
" MPI Media Group, Tailored Films, Fantastic Films",Stitches
" Hartbreak Films, Louisiana Media Productions",Nine Dead
 Jack Rollins & Charles H. Joffe Productions,Bananas
" Rockaway the Movie, Off Hollywood Pictures, Panamax Films",Rockaway
 The Institution,No Man's Land: The Rise of Reeker
" Grub Street Productions, Paramount Television",Wings            
" Columbia Pictures Corporation, Mercury Productions",The Lady from Shanghai
 Alex Entertainment Inc.,Highway
" Morocco Junction Pictures, Deviant Films, 1812 Productions",Small Apartments
 CollegeHumor,Coffee Town
 Melvin Frank Production,A Funny Thing Happened on the Way to the Forum
" Dog Eat Dog Films, Westside Productions",Slacker Uprising
" Ghastly Johnny X, Ottermole Moving Picture Company",The Ghastly Love of Johnny X
 Constantin Film,The Torture Chamber of Dr. Sadism
" Millennium Films, Millennium Films, The Group Films",Straight A's
" GreeneStreet Films, HanWay Films, Sidney Kimmel Entertainment",All Is Bright
" AliBella Pictures, Bystander Films, Management Production Entertainment (MPE)",The Curse of Downers Grove
" 4Go West Productions, Flatiron Pictures, Silver Sail Entertainment",The Legend of Hell's Gate: An American Conspiracy
" Aristar Entertainment, Belligerent Seal Productions, Sheridanscope",The Walking Deceased
" Hemdale, Island",River's Edge
" Audiovisual Aval SGR, Avalis de Catalunya SGR, Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC)",Enterrado
" Bottom Line Entertainment, FLF Films, Parkside Pictures",Shark Lake
" Noujaim Films, Worldview Entertainment, Roast Beef Productions",The Square
" Toloda, Zentropa Entertainments, Liberator Productions",One to Another
" The Weinstein Company, Warp Films, Film4",Submarine
 WWE Studios,The Marine 4: Moving Target
" Paramount Classics, Romano Shane Productions, Departure Entertainment",Northfork
" Making Movies, New Zealand On Air, Premiere Entertainment Group",Abandoned
 UTV Spotboy,ABCD (Any Body Can Dance)
" Ecosse Films, Film4, UK Film Council",Nowhere Boy
" Charles K. Feldman Group, Warner Bros.",A Streetcar Named Desire
" Brotherly Love Prods FEJ, Electric Republic, Flavor Unit Entertainment",Brotherly Love
" Discovery Films, BBC Storyville, UK Film Council",Man on Wire
" Strike Entertainment, StudioCanal, Arcade Pictures",O Último Exorcismo
" Columbia Pictures Corporation, Hawk Films",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
" Cinereach, The Department of Motion Pictures, Court 13 Pictures",Beasts of the Southern Wild
" Alameda Films, Artcam International, Blu Films",The Crime of Padre Amaro
" Apjac International, Twentieth Century Fox",Battle for the Planet of the Apes
" ErgoArts, Rigas Entertainment",Songcatcher
 Incorporated Television Company (ITC),Ed and His Dead Mother
" Authentic Management Productions, BCDF Pictures, Ruminant Films",Higher Ground
" Snoot Entertainment, Warrior Poets",The Greatest Movie Ever Sold
" Warner Home Video, Raw Feed, Papazian-Hirsch Entertainment International",Sublime
 Nic Arts Movie,Vaalu
" Leonard Freeman Production, The Malpaso Company",Hang 'Em High
" Mission Film, Prayer Flag Pictures",Travelers and Magicians
" Cinetel Films, Independence Day Productions, Reel One Pictures",Independence Daysaster
 Datari Turner Productions,Dysfunctional Friends
 Twentieth Century Fox,Deadline - U.S.A.
" X-Filme Creative Pool, Westdeutscher Rundfunk (WDR), Arte",Run Lola Run
 Against the Wild Films,Against the Wild
" 2 Loop Films, A Loopy Production LLC",May
" Indie Entertainment, San Francisco Independent Cinema, Two Masked Men",A Beginner's Guide to Snuff
" Creando Films, Fidecine, Potomac Pictures",Under the Same Moon
,Living Dark: The Story of Ted the Caver
" Cinetel Films, Anchor Bay Films",I Spit on Your Grave
" Twentieth Century Fox, APJAC Productions",Conquest of the Planet of the Apes
" Apocalypso Pictures, The Film Consortium, BBC Films",My Summer of Love
" Good Machine, Standard Film Company, GreeneStreet Films",In the Bedroom
" Marked Entertainment, Miramax","Happy, Texas"
 Columbia Pictures Corporation,From Here to Eternity
" Sikhya Entertainment, DAR Motion Pictures, National Film Development Corporation of India (NFDC)",The Lunchbox
" Adventure Pictures, GreeneStreet Films, Studio Fierberg",Yes
" Coram Deo Studios, Republic Pictures (III), Birchwood Pictures",Grace Unplugged
 Argosy Pictures,She Wore a Yellow Ribbon
 N-Secure Films,N-Secure
 Columbia Pictures Corporation,You Can't Take It with You
